Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
FALSE,3.5mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,5/20/2014 6:22,9:17:00,3.49,14,9:32,6:28,155,171,386,159.6,"86,335.00",0.0045,2,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6.2mi Easy - PR,Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,5/18/2014 6:47,0:59:10,6.21,27,9:31,6:37,162,184,740,9.53,"9,585.00",0.0772,125,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Easy w/ Office Team,Running,--,5/15/2014 17:41,0:36:59,3.26,21,11:21,5:54,143,168,360,11.34,"5,288.62",0.0681,97,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.2 mi Intervals,Street Running,"5k Sherman, Foster, McDonnough, Grant",5/15/2014 6:16,0:43:59,4.19,23,10:30,6:10,151,175,497,10.5,"6,641.48",0.0748,113,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Running,--,5/13/2014 6:20,0:30:14,3.05,7,9:55,7:59,--,--,476,9.91,#VALUE!,#VALUE!,157,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,Muddarella! w/ Office Team,Other,--,5/10/2014 13:02,5:00:00,5,--,--,--,--,--,--,60,#VALUE!,#VALUE!,#VALUE!,New Balance,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,5/9/2014 6:14,0:32:29,3.32,10,9:48,7:03,159,175,402,9.78,"5,164.85",0.0778,124,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy Jog w/ Office Team,Street Running,Piscataway Green Acres Path,5/7/2014 17:38,0:39:27,3.32,30,11:52,5:32,137,180,381,11.88,"5,404.65",0.0705,97,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5mi Easy,Street Running,18m - Sherman - Watchung Loop,5/5/2014 6:13,0:47:42,4.95,25,9:38,6:23,154,169,573,9.64,"7,345.80",0.078,120,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.4mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,5/3/2014 6:23,0:30:26,3.2,14,9:31,5:47,155,177,369,9.51,"4,717.17",0.0782,121,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,Untitled,Running,--,5/3/2014 6:19,0:02,0.24,--,11:04,9:19,140,150,30,8.33,280,0.1071,150,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Easy Jog w/ office team,Running,--,5/1/2014 17:49,0:41:39,3.34,32,12:28,5:07,140,180,407,12.47,"5,831.00",0.0698,98,Dyad 7,--,--,#VALUE!,#VALUE!
TRUE,13.1mi Race Jersey Shore (half) - PR,Running,--,4/27/2014 6:51,2:12:20,13.19,70,10:02,4:47,168,183,"1,723",10.03,"22,232.00",0.0775,130,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.7mi Very Easy w/ office team,Street Running,Piscataway Green Acres Path,4/23/2014 17:45,0:46:32,3.7,23,12:34,5:10,--,--,546,12.58,#VALUE!,#VALUE!,117,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Very Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,4/20/2014 7:21,0:36:44,3.49,145,10:32,7:52,145,157,405,10.53,"5,326.33",0.076,110,Dyad 7,--,--,#VALUE!,#VALUE!
